,Date,Winner,Method,Weight_class,W_round,W_round_time,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_link,B_link,N_Rounds,Fight_time,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land,R_Height,R_Reach,R_Stance,B_Height,B_Reach,B_Stance,R_age,B_age
4643,1996-07-12,R,KO,Open Weight,1,621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/18524b46c570730b,2,1341,191.0,182.0,26.0,22.0,1.0,1.0,0.0,0.0,28.0,27.0,2.0,2.0,8.0,8.0,1.0,1.0,20.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,28.0,27.0,0.0,0.0,73.0,75.0,Orthodox,72.0,74.0,Orthodox,30.0,29.0
4644,1996-02-16,R,KO,Open Weight,1,134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5,3,1034,37.0,27.0,6.0,2.0,0.0,0.0,3.0,1.0,21.0,12.0,6.0,2.0,18.0,9.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,6.0,2.0,3.0,0.0,11.0,7.0,3.0,2.0,4.0,3.0,0.0,0.0,73.0,75.0,Orthodox,75.0,77.0,Orthodox,30.0,30.0
4645,1996-02-16,R,KO,Open Weight,1,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/ea398c802d9998ee,1,608,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,73.0,75.0,Orthodox,73.0,75.0,Orthodox,30.0,29.0
4646,2006-10-07,R,KO,Heavyweight,1,118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/0ff11cc094e887bc,http://ufcstats.com/fighter-details/c3c38c86f5ab9b5c,3,418,59.0,52.0,2.0,1.0,3.0,2.0,0.0,0.0,15.0,13.0,2.0,1.0,14.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,73.0,77.0,Orthodox,76.0,78.0,Southpaw,24.0,23.0
4647,2006-03-10,R,Sub,Heavyweight,1,114,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/66e0a70352fef46a,http://ufcstats.com/fighter-details/c3c38c86f5ab9b5c,3,414,26.0,12.0,15.0,6.0,1.0,1.0,1.0,0.0,16.0,6.0,10.0,3.0,16.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,9.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,75.0,77.0,Orthodox,76.0,78.0,Southpaw,24.0,23.0
4648,2004-10-14,R,KO,Heavyweight,1,242,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7929be8290289a47,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,2,842,53.0,37.0,10.0,5.0,2.0,1.0,1.0,0.0,29.0,16.0,6.0,3.0,27.0,15.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,22.0,13.0,0.0,0.0,68.0,70.0,Orthodox,72.0,74.0,Orthodox,31.0,32.0
4649,2004-05-23,R,Sub,Middleweight,1,178,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,http://ufcstats.com/fighter-details/8d04923f2db59b7f,2,778,54.0,29.0,74.0,29.0,3.0,1.0,0.0,0.0,50.0,25.0,58.0,15.0,34.0,9.0,58.0,15.0,11.0,11.0,0.0,0.0,5.0,5.0,0.0,0.0,34.0,15.0,50.0,11.0,16.0,10.0,8.0,4.0,0.0,0.0,0.0,0.0,72.0,74.0,Orthodox,69.0,71.0,Orthodox,31.0,29.0
4650,1999-11-19,R,Sub,Heavyweight,2,255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,528.0,http://ufcstats.com/fighter-details/9f488f520ed25bbf,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,3,855,4.0,1.0,135.0,93.0,0.0,0.0,3.0,2.0,4.0,1.0,63.0,27.0,3.0,0.0,61.0,25.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,61.0,25.0,72.0,74.0,Orthodox,72.0,74.0,Orthodox,23.0,27.0
4651,1999-11-19,R,KO,Open Weight,2,192,1.0,0.0,0.0,0.0,0.0,0.0,3.0,122.0,http://ufcstats.com/fighter-details/d71d968dc6ecfdaf,http://ufcstats.com/fighter-details/d56caaa5e123f518,3,792,45.0,22.0,61.0,27.0,0.0,0.0,3.0,1.0,41.0,18.0,49.0,18.0,33.0,10.0,42.0,15.0,4.0,4.0,1.0,1.0,4.0,4.0,6.0,2.0,36.0,14.0,19.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,30.0,15.0,72.0,74.0,Orthodox,69.0,71.0,Orthodox,27.0,24.0
4652,2011-07-16,B,Dec,Bantamweight,2,300,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/ccd58ff71e260ed5,http://ufcstats.com/fighter-details/8eb239a52fc4ec14,2,1200,47.0,24.0,113.0,87.0,0.0,0.0,8.0,6.0,29.0,8.0,31.0,11.0,22.0,5.0,27.0,10.0,7.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,25.0,8.0,2.0,2.0,0.0,0.0,3.0,2.0,6.0,3.0,66.0,68.0,Switch,67.0,66.0,Orthodox,29.0,34.0
4653,2011-05-29,B,Dec,Bantamweight,2,300,,,,,,,,,http://ufcstats.com/fighter-details/ccd58ff71e260ed5,http://ufcstats.com/fighter-details/a4dd5c9a75763295,2,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,68.0,Switch,64.0,65.0,Southpaw,29.0,35.0
4654,2009-10-25,R,Dec,Featherweight,3,300,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/c9885b1b7c7055a0,http://ufcstats.com/fighter-details/ccd58ff71e260ed5,3,1200,96.0,78.0,96.0,87.0,5.0,4.0,0.0,0.0,38.0,25.0,21.0,14.0,36.0,23.0,18.0,11.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,6.0,4.0,35.0,23.0,11.0,10.0,67.0,69.0,Southpaw,66.0,68.0,Switch,29.0,29.0
4655,2013-03-02,B,Dec,Middleweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,http://ufcstats.com/fighter-details/7c35f869033901ae,http://ufcstats.com/fighter-details/0c6d9ea8306c029e,3,1200,182.0,75.0,270.0,131.0,1.0,1.0,0.0,0.0,172.0,69.0,254.0,116.0,118.0,35.0,217.0,86.0,16.0,11.0,20.0,18.0,38.0,23.0,17.0,12.0,169.0,66.0,247.0,113.0,3.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,72.0,73.0,Southpaw,73.0,74.0,Orthodox,32.0,25.0
4656,2012-07-07,R,Dec,Middleweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,7.0,116.0,http://ufcstats.com/fighter-details/05560764359161e4,http://ufcstats.com/fighter-details/7c35f869033901ae,3,1200,173.0,53.0,114.0,61.0,2.0,0.0,8.0,0.0,162.0,42.0,97.0,44.0,154.0,37.0,68.0,20.0,8.0,5.0,9.0,6.0,0.0,0.0,20.0,18.0,158.0,40.0,94.0,43.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,71.0,73.0,Orthodox,72.0,73.0,Southpaw,32.0,31.0
4657,2011-02-26,R,Dec,Middleweight,3,300,0.0,0.0,0.0,0.0,0.0,0.0,4.0,292.0,http://ufcstats.com/fighter-details/b13da0b1a3aed3e7,http://ufcstats.com/fighter-details/7c35f869033901ae,3,1200,130.0,46.0,121.0,65.0,1.0,0.0,9.0,6.0,125.0,41.0,82.0,28.0,82.0,13.0,68.0,20.0,7.0,6.0,7.0,4.0,36.0,22.0,7.0,4.0,119.0,36.0,68.0,19.0,6.0,5.0,12.0,8.0,0.0,0.0,2.0,1.0,72.0,74.0,Southpaw,72.0,73.0,Southpaw,32.0,30.0
4658,2009-04-05,R,Dec,Catch Weight,2,300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/7c35f869033901ae,http://ufcstats.com/fighter-details/90e7447d8b7f3f35,2,1200,136.0,44.0,140.0,59.0,1.0,0.0,6.0,2.0,123.0,32.0,124.0,44.0,112.0,26.0,67.0,18.0,5.0,2.0,23.0,12.0,6.0,4.0,34.0,14.0,103.0,24.0,91.0,29.0,13.0,4.0,26.0,13.0,7.0,4.0,7.0,2.0,72.0,73.0,Southpaw,71.0,73.0,Orthodox,28.0,28.0
4659,2001-06-30,R,Dec,Heavyweight,3,300,,,,,,,,,http://ufcstats.com/fighter-details/c670aa48827d6be6,http://ufcstats.com/fighter-details/911fb265462f0d94,3,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,76.0,Southpaw,72.0,74.0,Orthodox,43.0,24.0
