,Date,Winner,Method,Referee,N_rounds,W_round,W_round_time,R_fighter,B_fighter,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land
4426,2014-05-24,Tony Ferguson,KO/TKO,Yves Lavigne,3,1,0 days 00:04:06,Tony Ferguson,Katsunori Kikuno,1,0,1,0,0,1,0 days 00:00:37,0 days 00:00:23,69,40,46,23,2,1,0,0,67,38,44,22,63,35,37,17,2,1,5,4,2,2,2,1,66,37,44,22,1,1,0,0,0,0,0,0
4427,2014-05-24,Chris Holdsworth,Decision - Unanimous,Mark Smith,3,3,0 days 00:05:00,Chris Holdsworth,Chico Camus,0,0,2,0,0,0,0 days 00:10:16,0 days 00:00:07,225,140,67,33,6,4,0,0,88,26,59,25,76,20,51,21,10,5,4,1,2,1,4,3,85,24,58,25,1,1,0,0,2,1,1,0
4428,2014-05-24,Mitch Clarke,Submission,Jason Herzog,3,2,0 days 00:00:57,Al Iaquinta,Mitch Clarke,0,0,2,1,0,0,0 days 00:04:31,0 days 00:00:10,40,31,34,20,1,1,0,0,19,13,21,8,16,10,12,3,3,3,5,2,0,0,4,3,8,6,20,8,0,0,0,0,11,7,1,0
4429,2014-05-24,Vinc Pichel,Decision - Unanimous,Mark Smith,3,3,0 days 00:05:00,Anthony Njokuani,Vinc Pichel,0,0,0,0,0,0,0 days 00:00:06,0 days 00:08:32,84,30,159,98,0,0,11,8,77,24,113,57,63,16,68,22,13,8,18,13,1,0,27,22,71,20,57,13,5,3,31,25,1,1,25,19
4430,2014-05-24,Sam Sicilia,Decision - Unanimous,Jason Herzog,3,3,0 days 00:05:00,Sam Sicilia,Aaron Phillips,0,0,1,1,1,1,0 days 00:10:09,0 days 00:01:08,129,95,137,109,8,5,0,0,68,37,40,18,53,28,23,5,13,8,14,12,2,1,3,1,31,12,26,9,6,4,6,3,31,21,8,6
4431,2014-05-24,Li Jingliang,Decision - Split,Mark Smith,3,3,0 days 00:05:00,David Michaud,Li Jingliang,0,0,2,0,0,0,0 days 00:03:31,0 days 00:03:35,152,69,180,84,8,3,6,2,121,41,156,61,100,29,133,46,13,8,5,3,8,4,18,12,100,28,116,38,12,7,13,7,9,6,27,16
4432,2014-05-10,Matt Brown,KO/TKO,Herb Dean,5,3,0 days 00:02:11,Matt Brown,Erick Silva,0,1,4,1,0,0,0 days 00:03:47,0 days 00:03:48,213,161,71,39,5,5,3,0,166,118,54,25,144,101,40,17,21,16,12,6,1,1,2,2,70,44,41,13,48,37,4,3,48,37,9,9
4433,2014-05-10,Constantinos Philippou,KO/TKO,Keith Peterson,3,1,0 days 00:03:47,Constantinos Philippou,Lorenz Larkin,1,0,0,0,0,0,0 days 00:01:16,0 days 00:00:00,63,31,34,19,0,0,0,0,44,15,30,16,30,9,21,8,7,2,3,2,7,4,6,6,39,11,23,11,4,3,7,5,1,1,0,0
4434,2014-05-10,Daron Cruickshank,KO/TKO,Gary Copeland,3,1,0 days 00:03:21,Erik Koch,Daron Cruickshank,0,1,0,0,0,0,0 days 00:00:00,0 days 00:00:13,21,6,47,26,0,0,0,0,21,6,45,24,14,1,36,21,1,1,7,3,6,4,2,0,21,6,22,6,0,0,0,0,0,0,23,18
4435,2014-05-10,Neil Magny,Decision - Unanimous,Jerry Krysz,3,3,0 days 00:05:00,Neil Magny,Tim Means,0,0,0,1,0,0,0 days 00:05:19,0 days 00:01:00,105,52,89,53,9,4,4,3,77,29,66,30,52,14,46,18,18,11,13,5,7,4,7,7,64,21,46,15,11,7,10,8,2,1,10,7
